SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN_player,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS_player,VIDEO_AVAILABLE,Home,Opponent,opponent_id,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN_team,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS_team,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OPP_FGM_RANK,OPP_FGA_RANK,OPP_FG_PCT_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FG3_PCT_RANK,OPP_FTM_RANK,OPP_FTA_RANK,OPP_FT_PCT_RANK,OPP_OREB_RANK,OPP_DREB_RANK,OPP_REB_RANK,OPP_AST_RANK,OPP_TOV_RANK,OPP_STL_RANK,OPP_BLK_RANK,OPP_BLKA_RANK,OPP_PF_RANK,OPP_PFD_RANK,OPP_PTS_RANK,PLUS_MINUS_RANK
22024,201939,0022400258,"NOV 20, 2024",GSW vs. ATL,W,30,7,10,0.7,4,6,0.667,5,5,1.0,0,4,4,8,2,1,5,0,23,27,1,1,ATL,1610612737,1610612737,Atlanta Hawks,16,7,9,0.438,22.8,20.0,43.3,0.463,7.9,20.0,0.396,8.6,11.1,0.773,5.5,16.1,21.6,12.8,8.0,4.5,2.8,2.8,9.9,9.2,56.5,2.2,2,16,18,18,20,14,13,14,23,19,30,11,11,14,16,11,11,15,14,19,19,14,15,22,15,21
22024,201939,0022400251,"NOV 18, 2024",GSW @ LAC,L,32,10,21,0.476,6,15,0.4,0,0,0.0,1,6,7,6,0,1,3,1,26,-5,1,0,LAC,1610612746,1610612746,LA Clippers,15,8,7,0.533,34.6,28.1,61.8,0.454,9.5,27.3,0.348,11.6,15.3,0.762,7.0,23.4,30.5,17.1,10.5,7.3,3.7,3.5,14.4,13.7,77.3,-0.9,10,11,11,13,3,27,28,9,28,28,10,27,27,9,26,29,29,26,2,30,26,2,29,3,27,12
22024,201939,0022400019,"NOV 15, 2024",GSW vs. MEM,W,26,4,9,0.444,3,7,0.429,2,2,1.0,1,7,8,5,4,0,3,2,13,9,1,1,MEM,1610612763,1610612763,Memphis Grizzlies,16,9,7,0.563,17.5,14.8,33.6,0.441,5.2,14.7,0.355,7.0,9.4,0.742,4.6,11.9,16.5,9.2,5.9,3.5,1.8,2.8,8.3,8.1,41.8,-1.5,2,7,11,11,29,2,2,5,2,2,14,5,6,3,5,2,2,2,28,7,1,11,6,25,2,11
22024,201939,0022400007,"NOV 12, 2024",GSW vs. DAL,W,35,14,27,0.519,5,12,0.417,4,5,0.8,0,6,6,9,1,2,4,2,37,24,1,1,DAL,1610612742,1610612742,Dallas Mavericks,15,8,7,0.533,28.2,23.0,51.3,0.448,7.3,21.5,0.341,10.8,14.7,0.738,7.2,18.9,26.1,15.2,8.4,4.4,2.4,2.9,10.9,12.4,64.1,-3.9,10,11,11,13,6,21,23,7,21,23,5,24,26,2,28,23,25,23,12,18,13,9,21,5,20,7
22024,201939,0022400207,"NOV 10, 2024",GSW @ OKC,W,37,13,23,0.565,7,13,0.538,3,4,0.75,1,4,5,7,1,1,3,2,36,21,1,0,OKC,1610612760,1610612760,Oklahoma City Thunder,16,12,4,0.75,40.2,30.2,71.4,0.423,10.9,31.0,0.351,16.0,21.8,0.737,11.3,30.4,41.7,20.7,16.7,5.7,3.9,5.9,15.1,18.0,87.3,-9.3,2,2,4,4,1,29,30,1,29,30,13,30,30,1,30,30,30,30,1,28,29,1,30,1,30,1
22024,201939,0022400188,"NOV 08, 2024",GSW @ CLE,L,24,5,10,0.5,1,4,0.25,1,1,1.0,0,1,1,2,2,0,6,0,12,-25,1,0,CLE,1610612739,1610612739,Cleveland Cavaliers,17,16,1,0.941,27.8,23.6,51.1,0.461,8.3,21.4,0.386,9.1,11.4,0.799,5.9,17.8,23.7,14.8,9.1,4.1,2.6,3.0,10.5,10.3,64.5,-7.4,1,1,1,1,8,23,22,13,25,22,29,18,15,23,20,19,19,22,6,17,16,8,18,15,23,2
22024,201939,0022400172,"NOV 06, 2024",GSW @ BOS,W,34,8,17,0.471,4,9,0.444,7,7,1.0,0,7,7,9,4,1,3,2,27,7,1,0,BOS,1610612738,1610612738,Boston Celtics,15,12,3,0.8,33.1,28.8,61.3,0.47,8.1,23.7,0.343,9.9,12.9,0.764,7.0,22.1,29.1,17.4,9.5,4.9,2.9,3.3,13.6,11.3,75.6,-6.8,10,2,2,2,4,28,27,18,24,26,7,22,22,10,25,27,27,28,3,25,20,4,27,11,26,3
22024,201939,0022400155,"NOV 04, 2024",GSW @ WAS,W,24,7,15,0.467,4,9,0.444,6,6,1.0,1,2,3,6,0,0,2,1,24,9,1,0,WAS,1610612764,1610612764,Washington Wizards,13,2,11,0.154,21.7,20.1,42.1,0.478,6.5,17.5,0.373,9.4,11.9,0.793,5.9,16.8,22.6,12.2,6.4,3.7,2.8,2.8,8.5,10.0,56.2,7.2,28,29,26,29,25,15,11,21,12,10,24,19,18,21,19,12,14,9,23,9,18,12,7,16,14,30
22024,201939,0022400101,"OCT 27, 2024",GSW vs. LAC,L,27,6,11,0.545,4,7,0.571,2,2,1.0,0,4,4,6,2,1,6,1,18,2,1,1,LAC,1610612746,1610612746,LA Clippers,15,8,7,0.533,34.6,28.1,61.8,0.454,9.5,27.3,0.348,11.6,15.3,0.762,7.0,23.4,30.5,17.1,10.5,7.3,3.7,3.5,14.4,13.7,77.3,-0.9,10,11,11,13,3,27,28,9,28,28,10,27,27,9,26,29,29,26,2,30,26,2,29,3,27,12
22024,201939,0022400084,"OCT 25, 2024",GSW @ UTA,W,27,7,20,0.35,4,13,0.308,2,2,1.0,0,3,3,4,2,0,3,3,20,22,1,0,UTA,1610612762,1610612762,Utah Jazz,14,3,11,0.214,21.8,19.8,40.6,0.488,6.7,17.8,0.376,7.8,10.3,0.755,5.0,13.9,18.9,12.5,6.1,4.5,3.0,1.8,9.8,8.5,54.0,4.7,22,27,26,27,22,12,8,27,14,12,25,8,10,5,8,5,5,14,26,22,24,27,14,24,11,28
